data,preco_a,preco_b
2024-01-02,99.8761,59.9234
2024-01-03,100.1888,59.6848
2024-01-04,100.2748,59.7194
2024-01-05,100.4024,60.1032
2024-01-06,100.7639,60.0787
2024-01-07,100.3304,60.1676
2024-01-08,100.3194,60.3397
2024-01-09,99.4989,60.0507
2024-01-10,99.8634,60.4257
2024-01-11,100.2222,60.1662
2024-01-12,100.0520,59.5507
2024-01-13,99.4738,59.6314
2024-01-14,99.4402,60.0849
2024-01-15,98.9132,59.6961
2024-01-16,99.2160,59.9219
2024-01-17,99.5860,60.1705
2024-01-18,99.0573,59.8414
2024-01-19,99.2319,60.6919
2024-01-20,98.4926,60.6766
2024-01-21,99.3552,61.3539
2024-01-22,100.0402,61.3550
2024-01-23,100.0600,60.7622
2024-01-24,100.1527,60.6776
2024-01-25,100.6888,61.5911
2024-01-26,100.8160,61.6086
2024-01-27,100.6859,61.1891
2024-01-28,100.8755,60.9509
2024-01-29,100.1763,60.5381
2024-01-30,100.0172,60.7258
2024-01-31,100.0863,60.7707
2024-02-01,100.8967,61.1782
2024-02-02,100.6623,60.9892
2024-02-03,101.2668,61.9432
2024-02-04,101.5652,61.8701
2024-02-05,100.9686,61.6699
2024-02-06,101.9251,62.3036
2024-02-07,100.9505,61.7576
2024-02-08,100.4873,61.5919
2024-02-09,101.0332,61.9810
2024-02-10,101.5803,62.2803
2024-02-11,101.2568,62.3756
2024-02-12,100.9175,62.0137
2024-02-13,102.1435,63.1084
2024-02-14,101.4552,62.8144
2024-02-15,101.8238,63.6353
2024-02-16,102.5795,64.0264
2024-02-17,102.4491,63.6676
2024-02-18,102.4893,64.3323
2024-02-19,102.2799,63.6783
2024-02-20,102.1605,63.8068
2024-02-21,102.8713,63.9061
2024-02-22,103.2553,64.1909
2024-02-23,103.2452,64.0072
2024-02-24,103.9773,64.3999
2024-02-25,104.7664,64.5590
2024-02-26,104.6520,64.9150
2024-02-27,104.8672,65.3094
2024-02-28,104.0928,65.2454
2024-02-29,104.0253,65.5756
2024-03-01,104.0306,65.9133
2024-03-02,103.6376,65.9904
2024-03-03,103.5414,66.1337
2024-03-04,103.7622,66.4002
2024-03-05,104.2059,66.8190
2024-03-06,105.0371,66.2612
2024-03-07,105.4429,66.4397
2024-03-08,106.5411,67.6824
2024-03-09,106.5752,67.4026
2024-03-10,106.3986,67.1106
2024-03-11,106.0183,67.7721
2024-03-12,106.6077,67.4198
2024-03-13,107.8534,67.2467
2024-03-14,107.0918,66.9398
2024-03-15,107.9756,67.0707
2024-03-16,107.1940,66.9621
2024-03-17,106.9897,67.0913
2024-03-18,108.4768,67.6793
2024-03-19,108.4094,67.5191
2024-03-20,108.7338,67.7072
2024-03-21,108.2991,67.3304
2024-03-22,108.0636,66.2896
2024-03-23,108.1820,66.6463
2024-03-24,108.6680,66.5479
2024-03-25,108.2435,66.7828
2024-03-26,109.0368,68.0802
2024-03-27,109.3567,68.1627
2024-03-28,110.0906,68.5482
2024-03-29,109.4210,68.2568
2024-03-30,109.5580,67.8151
2024-03-31,108.7335,67.2122
2024-04-01,108.6752,66.9485
2024-04-02,107.7624,66.4526
2024-04-03,108.4962,66.6933
2024-04-04,109.1299,66.8998
2024-04-05,108.6942,66.0939
2024-04-06,108.8473,66.0322
2024-04-07,108.6019,66.3331
2024-04-08,108.4687,66.1671
2024-04-09,108.0544,66.1086
2024-04-10,108.6384,66.4100
2024-04-11,108.9416,66.9212
2024-04-12,108.4655,66.7050
2024-04-13,108.6821,66.6453
2024-04-14,107.8966,65.9522
2024-04-15,108.0370,66.0698
2024-04-16,106.6699,65.6899
2024-04-17,107.8915,66.6212
2024-04-18,107.0945,65.4296
2024-04-19,107.9773,65.5713
2024-04-20,109.1755,65.6070
2024-04-21,109.1029,65.7284
2024-04-22,109.2823,65.1619
2024-04-23,109.9853,65.0090
2024-04-24,110.1512,64.8653
2024-04-25,110.5043,64.7765
2024-04-26,111.6228,65.2550
2024-04-27,111.0691,65.4333
2024-04-28,111.1337,65.3340
2024-04-29,111.4071,65.7481
2024-04-30,111.5644,65.8948
2024-05-01,111.2482,65.5778
2024-05-02,110.5824,65.6153
2024-05-03,111.0302,66.2851
2024-05-04,110.5779,66.1780
2024-05-05,110.0937,66.0802
2024-05-06,110.0993,65.9358
2024-05-07,110.2559,65.6602
2024-05-08,109.7291,65.6976
2024-05-09,109.5313,65.7105
2024-05-10,110.3258,65.7701
2024-05-11,110.6543,65.9910
2024-05-12,111.4990,66.3504
2024-05-13,111.0718,65.8039
2024-05-14,110.4155,65.6007
2024-05-15,109.4632,65.0165
2024-05-16,109.4820,65.0246
2024-05-17,108.9778,65.0513
2024-05-18,108.1200,64.4071
2024-05-19,108.2183,64.4391
2024-05-20,108.8541,64.6851
